table_name,column_name,type_name,column_size,decimal_digits,is_nullable,column_default
"SFDEPTARCCON","CODIGOCOMPANIA","INTEGER","10","0","false",""
"SFDEPTARCCON","CODIGOARCHIVODEFINICION","DECIMAL","10","0","false",""
"SFDEPTARCCON","CONTENIDOARCHIVO","BLOB","15728640","0","false",""
"SFDEPTARCDEF","CODIGOCOMPANIA","INTEGER","10","0","false",""
"SFDEPTARCDEF","CODIGOARCHIVODEFINICION","DECIMAL","10","0","false",""
"SFDEPTARCDEF","NOMBREARCHIVO","VARCHAR","128","0","false",""
"SFDEPTARCDEF","DESCRIPCIONARCHIVO","VARCHAR","200","0","true",""
"SFDEPTARCDEF","TAMANIOARCHIVO","DECIMAL","10","2","true",""
"SFDEPTARCDEF","UNIDADARCHIVO","VARCHAR","32","0","true",""
"SFDEPTARCDEF","ESTADOARCHIVO","VARCHAR","32","0","true",""
"SFDEPTARCDEF","EXTENSIONARCHIVO","VARCHAR","32","0","true",""
"SFDEPTARCDEF","FECHATRANSMISION","TIMESTAMP","26","6","true",""
"SFDEPTARCDEF","ESTADO","VARCHAR","1","0","false",""
"SFDEPTARCDEF","USUARIOREGISTRO","VARCHAR","32","0","false",""
"SFDEPTARCDEF","FECHAREGISTRO","TIMESTAMP","26","6","false",""
"SFDEPTARCDEF","USUARIOMODIFICACION","VARCHAR","32","0","true",""
"SFDEPTARCDEF","FECHAMODIFICACION","TIMESTAMP","26","6","true",""
"SFDEPTARCDEF","CODIGOCIERRELOCAL","DECIMAL","10","0","true",""
"SFDEPTARQDEP","CODIGOARQUEODEPOSITO","DECIMAL","10","0","false",""
"SFDEPTARQDEP","CODIGOCOMPANIA","INTEGER","10","0","false",""
"SFDEPTARQDEP","CODIGOAREATRABAJO","INTEGER","10","0","false",""
"SFDEPTARQDEP","FECHAARQUEO","TIMESTAMP","26","6","false",""
"SFDEPTARQDEP","CODIGOCATALOGOTIPOESTADOARQUEO","INTEGER","10","0","false",""
"SFDEPTARQDEP","CODIGOCATALOGOVALORESTADOARQUEO","VARCHAR","32","0","false",""
"SFDEPTARQDEP","USAMULTIMONEDA","VARCHAR","1","0","false",""
"SFDEPTARQDEP","CODIGOCATALOGOTIPOMONEDA","INTEGER","10","0","true",""
"SFDEPTARQDEP","CODIGOCATALOGOVALORMONEDA","VARCHAR","32","0","true",""
"SFDEPTARQDEP","VALORTOTAL","DECIMAL","10","2","true",""
"SFDEPTARQDEP","TOTALCOMPROBAR","DECIMAL","10","2","true",""
"SFDEPTARQDEP","DIFERENCIA","DECIMAL","10","2","true",""
"SFDEPTARQDEP","TASACONVERSION","DECIMAL","10","2","true",""
"SFDEPTARQDEP","CODIGOCATALOGOTIPOARQUEO","INTEGER","10","0","true",""
"SFDEPTARQDEP","CODIGOCATALOGOVALORARQUEO","VARCHAR","32","0","true",""
"SFDEPTARQDEP","VALORTOTALCORREGIDO","DECIMAL","10","2","true",""
"SFDEPTARQDEP","DIFERENCIACORREGIDA","DECIMAL","10","2","true",""
"SFDEPTARQDEP","VERSION","INTEGER","10","0","false",""
"SFDEPTARQDEP","ESTADO","VARCHAR","1","0","false",""
"SFDEPTARQDEP","USUARIOREGISTRO","VARCHAR","32","0","false",""
"SFDEPTARQDEP","FECHAREGISTRO","TIMESTAMP","26","6","false",""
"SFDEPTARQDEP","USUARIOMODIFICACION","VARCHAR","32","0","true",""
"SFDEPTARQDEP","FECHAMODIFICACION","TIMESTAMP","26","6","true",""
"SFDEPTARQDEPACTA","CODIGOARQUEODEPOSITOACTA","DECIMAL","10","0","false",""
"SFDEPTARQDEPACTA","CODIGOARQUEODEPOSITO","DECIMAL","10","0","false",""
"SFDEPTARQDEPACTA","CODIGOCOMPANIA","INTEGER","10","0","false",""
"SFDEPTARQDEPACTA","USUARIOENTREGA","VARCHAR","64","0","true",""
"SFDEPTARQDEPACTA","USUARIORECIBE","VARCHAR","64","0","true",""
"SFDEPTARQDEPACTA","NOMBREUSUARIOENTREGA","VARCHAR","64","0","true",""
"SFDEPTARQDEPACTA","NOMBREUSUARIORECIBE","VARCHAR","64","0","true",""
"SFDEPTARQDEPACTA","MOTIVO","VARCHAR","300","0","true",""
"SFDEPTARQDEPACTA","OBSERVACION","VARCHAR","500","0","true",""
"SFDEPTARQDEPACTA","MOTIVORECIBE","VARCHAR","300","0","true",""
"SFDEPTARQDEPACTA","OBSERVACIONRECIBE","VARCHAR","500","0","true",""
"SFDEPTARQDEPACTA","VERSION","INTEGER","10","0","false",""
"SFDEPTARQDEPACTA","ESTADO","VARCHAR","1","0","false",""
"SFDEPTARQDEPACTA","USUARIOREGISTRO","VARCHAR","32","0","false",""
"SFDEPTARQDEPACTA","FECHAREGISTRO","TIMESTAMP","26","6","false",""
"SFDEPTARQDEPACTA","USUARIOMODIFICACION","VARCHAR","32","0","true",""
"SFDEPTARQDEPACTA","FECHAMODIFICACION","TIMESTAMP","26","6","true",""
"SFDEPTARQDEPACTA","USUARIOENTREGAADMIN","VARCHAR","64","0","true",""
"SFDEPTARQDEPACTA","NOMBREUSUARIOENTREGAADMIN","VARCHAR","64","0","true",""
"SFDEPTARQDEPBIT","CODIGOARQUEODEPOSITOBITACORA","DECIMAL","10","0","false",""
"SFDEPTARQDEPBIT","CODIGOARQUEODEPOSITO","DECIMAL","10","0","false",""
"SFDEPTARQDEPBIT","CODIGOCATALOGOTIPOESTADOARQUEO","INTEGER","10","0","true",""
"SFDEPTARQDEPBIT","CODIGOCATALOGOVALORESTADOARQUEO","VARCHAR","32","0","true",""
"SFDEPTARQDEPBIT","CODIGOCOMPANIA","INTEGER","10","0","false",""
"SFDEPTARQDEPBIT","VERSION","INTEGER","10","0","false",""
"SFDEPTARQDEPBIT","ESTADO","VARCHAR","1","0","false",""
"SFDEPTARQDEPBIT","USUARIOREGISTRO","VARCHAR","32","0","false",""
"SFDEPTARQDEPBIT","FECHAREGISTRO","TIMESTAMP","26","6","false",""
"SFDEPTARQDEPBIT","USUARIOMODIFICACION","VARCHAR","32","0","true",""
"SFDEPTARQDEPBIT","FECHAMODIFICACION","TIMESTAMP","26","6","true",""
"SFDEPTARQDEPDET","CODIGOARQUEODEPOSITODETALLE","DECIMAL","10","0","false",""
"SFDEPTARQDEPDET","CODIGOARQUEODEPOSITO","DECIMAL","10","0","false",""
"SFDEPTARQDEPDET","CODIGOCOMPANIA","INTEGER","10","0","false",""
"SFDEPTARQDEPDET","CODIGOCATALOGOTIPOPAQUETEARQUEODET","INTEGER","10","0","false",""
"SFDEPTARQDEPDET","CODIGOCATALOGOVALORPAQUETEARQUEODET","VARCHAR","32","0","false",""
"SFDEPTARQDEPDET","CANTIDAD","INTEGER","10","0","true",""
"SFDEPTARQDEPDET","CANTIDADFUNDA","INTEGER","10","0","true",""
"SFDEPTARQDEPDET","CANTIDADPAQUETE","INTEGER","10","0","true",""
"SFDEPTARQDEPDET","CODIGOCATALOGOTIPOMONEDA","INTEGER","10","0","true",""
"SFDEPTARQDEPDET","CODIGOCATALOGOVALORMONEDA","VARCHAR","32","0","true",""
"SFDEPTARQDEPDET","CODIGOCATALOGOTIPODENOMINACION","INTEGER","10","0","true",""
"SFDEPTARQDEPDET","CODIGOCATALOGOVALORDENOMINACION","VARCHAR","32","0","true",""
"SFDEPTARQDEPDET","MULTIPLICADOR","DECIMAL","12","2","true",""
"SFDEPTARQDEPDET","DENOMINACIONPAQUETEMONEDA","DECIMAL","12","2","true",""
"SFDEPTARQDEPDET","CANTIDADPORFUNDA","INTEGER","10","0","true",""
"SFDEPTARQDEPDET","CANTIDADPORPAQUETE","INTEGER","10","0","true",""
"SFDEPTARQDEPDET","TOTALMULTIPLICADO","DECIMAL","10","2","true",""
"SFDEPTARQDEPDET","TOTALCONVERSION","DECIMAL","15","2","true",""
