fk_table,fk_name,fk_column,key_seq,pk_schema,pk_table,pk_column,update_rule,delete_rule
"SFDEPTARCCON","SFDEPFKARCCONARCDEF","CODIGOARCHIVODEFINICION","1","SMXFINANC","SFDEPTARCDEF","CODIGOARCHIVODEFINICION","3","3"
"SFDEPTARCDEF","SFDEPFKARCDEFCIELOC","CODIGOCIERRELOCAL","1","SMXFINANC","SFDEPTCIELOC","CODIGOCIERRELOCAL","3","0"
"SFDEPTARQDEP","SFDEPFKARQDEPCATVALTIP","CODIGOCATALOGOVALORARQUEO","1","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOVALOR","3","3"
"SFDEPTARQDEP","SCTMBTFKARQDEPPKCATALOGOVALOR","CODIGOCATALOGOVALORESTADOARQUEO","1","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOVALOR","3","3"
"SFDEPTARQDEP","SFDEPFKARQDEPCATVALTIPMON","CODIGOCATALOGOVALORMONEDA","1","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOVALOR","3","3"
"SFDEPTARQDEP","SCTMBTFKARQDEPPKCATALOGOVALOR","CODIGOCATALOGOTIPOESTADOARQUEO","2","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOTIPO","3","3"
"SFDEPTARQDEP","SFDEPFKARQDEPCATVALTIPMON","CODIGOCATALOGOTIPOMONEDA","2","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOTIPO","3","3"
"SFDEPTARQDEP","SFDEPFKARQDEPCATVALTIP","CODIGOCATALOGOTIPOARQUEO","2","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOTIPO","3","3"
"SFDEPTARQDEPACTA","SFDEPFKARQDEPACTAARQDEP","CODIGOARQUEODEPOSITO","1","SMXFINANC","SFDEPTARQDEP","CODIGOARQUEODEPOSITO","3","3"
"SFDEPTARQDEPBIT","SFDEPFKARQDEPBITARQDEP","CODIGOARQUEODEPOSITO","1","SMXFINANC","SFDEPTARQDEP","CODIGOARQUEODEPOSITO","3","3"
"SFDEPTARQDEPDET","SFDEPFKARQDEPDETARQDEP","CODIGOARQUEODEPOSITO","1","SMXFINANC","SFDEPTARQDEP","CODIGOARQUEODEPOSITO","3","3"
"SFDEPTARQDEPDET","SFDEPFKARQDEPDETCATVALTIPPAQ","CODIGOCATALOGOVALORPAQUETEARQUEODET","1","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOVALOR","3","3"
"SFDEPTARQDEPDET","SFDEPFKARQDEPDETCATVALMON","CODIGOCATALOGOVALORMONEDA","1","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOVALOR","3","3"
"SFDEPTARQDEPDET","SFDEPFKARQDEPDETCATVALTIPPAQ","CODIGOCATALOGOTIPOPAQUETEARQUEODET","2","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOTIPO","3","3"
"SFDEPTARQDEPDET","SFDEPFKARQDEPDETCATVALMON","CODIGOCATALOGOTIPOMONEDA","2","SMXFINANC","SFDEPTCATVAL","CODIGOCATALOGOTIPO","3","3"
"SFDEPTARQDEPFON","SFDEPFKARQDEPFONARQDEP","CODIGOARQUEODEPOSITO","1","SMXFINANC","SFDEPTARQDEP","CODIGOARQUEODEPOSITO","3","3"
